Vertex Number,Destrieux,DK Atlas,DKT Atlas
970,43,11,11
971,16,28,28
972,66,25,25
973,15,27,27
974,60,11,11
975,55,3,3
976,5,27,28
977,16,14,14
978,59,8,8
979,25,8,8
980,44,33,30
981,15,3,3
982,19,11,11
983,34,30,30
984,30,29,25
985,68,29,29
986,23,16,16
987,31,14,14
988,7,28,28
989,37,9,9
990,27,29,29
991,16,28,28
992,59,29,29
993,34,30,30
994,12,18,18
995,27,29,29
996,34,30,30
997,37,9,9
998,23,6,6
999,24,12,12
1000,29,24,24
1001,17,35,35
1002,16,28,28
1003,21,7,7
1004,74,8,8
1005,44,9,9
1006,55,28,28
1007,34,1,30
1008,16,28,28
1009,26,31,31
1010,30,25,25
1011,40,20,20
1012,37,9,9
1013,67,23,-1
1014,6,26,26
1015,28,22,22
1016,70,24,24
1017,29,24,24
1018,57,31,31
1019,47,17,17
1020,66,25,25
1021,37,9,9
1022,15,27,27
1023,46,22,22
1024,48,12,19
1025,16,28,28
1026,41,35,35
1027,74,1,15
1028,74,8,15
1029,16,28,28
1030,39,20,20
1031,27,29,29
1032,1,27,27
1033,74,8,8
1034,55,3,3
1035,29,24,3
1036,31,14,14
1037,51,9,9
1038,74,8,30
1039,16,17,17
1040,38,15,15
1041,66,25,25
1042,11,5,5
1043,15,27,27
1044,26,31,31
1045,20,29,29
1046,6,28,28
1047,68,22,22
1048,14,20,20
1049,45,10,10
1050,25,31,31
1051,31,14,14
1052,29,24,24
1053,22,13,13
1054,8,23,23
1055,16,28,28
1056,16,28,28
1057,25,8,8
1058,3,17,17
1059,38,15,15
1060,36,30,31
1061,2,11,11
1062,11,5,5
1063,74,15,15
1064,16,28,28
1065,33,34,30
1066,15,27,27
1067,60,9,9
1068,22,13,13
1069,2,11,11
1070,74,8,8
1071,25,8,8
1072,24,27,12
1073,66,25,25
1074,57,29,29
1075,54,27,27
1076,25,8,8
1077,8,28,28
1078,43,21,21
1079,30,25,25
1080,4,22,22
1081,19,8,8
1082,74,30,30
1083,15,27,27
1084,3,22,22
1085,57,8,8
1086,17,35,35
1087,30,25,25
1088,15,27,27
1089,27,29,29
1090,64,12,12
1091,31,14,14
1092,6,14,26
1093,37,9,9
1094,26,31,31
1095,21,7,7
1096,65,12,12
1097,65,12,12
1098,37,9,9
1099,62,7,7
1100,68,22,22
1101,53,27,20
1102,15,3,3
1103,37,9,9
1104,11,5,5
1105,29,24,24
1106,57,8,29
1107,9,10,10
1108,19,11,11
1109,16,28,28
1110,69,18,18
1111,38,15,15
1112,2,11,11
1113,23,6,6
1114,28,22,22
1115,15,27,27
1116,53,27,27
1117,6,14,14
1118,10,10,10
1119,74,8,8
1120,72,10,10
1121,74,30,30
1122,16,28,28
1123,25,8,8
1124,65,12,12
1125,41,31,31
1126,58,11,11
1127,51,7,7
1128,53,3,3
1129,70,24,24
1130,14,20,18
1131,24,12,12
1132,68,22,22
1133,36,30,30
1134,45,21,21
1135,70,24,24
1136,55,28,28
1137,4,22,22
1138,4,22,22
1139,11,21,21
1140,34,30,30
1141,41,35,35
1142,11,21,21
1143,66,5,5
1144,53,3,3
1145,22,13,13
1146,24,12,12
1147,55,28,28
1148,38,15,15
1149,54,27,27
1150,57,29,29
1151,14,20,20
1152,19,11,11
1153,24,19,19
1154,69,3,3
1155,53,18,18
1156,37,9,9
1157,25,8,8
1158,2,11,11
1159,25,8,8
1160,16,28,28
1161,22,13,13
1162,19,8,8
1163,22,13,13
1164,37,9,9
1165,26,31,31
1166,46,22,22
1167,28,22,22
1168,4,24,24
1169,54,27,27
1170,7,2,2
1171,62,16,16
1172,46,24,24
1173,16,28,28
1174,59,8,8
1175,62,7,7
1176,15,3,3
1177,24,19,19
1178,28,22,22
1179,6,14,28
1180,36,30,30
1181,16,28,28
1182,15,27,27
1183,38,15,15
1184,22,13,13
1185,25,8,8
1186,23,16,16
1187,31,14,14
1188,21,7,7
1189,3,17,17
1190,19,8,8
1191,51,7,7
1192,20,29,29
1193,21,7,7
1194,26,31,31
1195,34,30,30
1196,20,11,11
1197,11,5,5
1198,30,25,25
1199,57,29,29
1200,53,27,27
1201,37,9,9
1202,57,29,29
1203,16,28,28
1204,67,2,2
1205,12,18,18
1206,26,31,31
1207,65,19,12
1208,30,25,25
1209,15,3,3
